State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon
TX,Abilene,4801000-48441012600,4801000,48441012600,26.9,32.42381066,-99.7751878
TX,El Paso,4824000-48141001201,4824000,48141001201,39.3,31.85191634,-106.5787399
TX,Dallas,4819000-48113005902,4819000,48113005902,44,32.69626178,-96.81869489
TX,San Antonio,4865000-48029182001,4865000,48029182001,24.8,29.56982841,-98.65768242
TX,Beaumont,4807000-48245001100,4807000,48245001100,36.4,30.0905931,-94.1251022
TX,Dallas,4819000-48113009500,4819000,48113009500,23.7,32.88771251,-96.84734569
TX,McAllen,4845384-48215024105,4845384,48215024105,42.5,26.28398047,-98.25628618
TX,Midland,4848072-48329010104,4848072,48329010104,27.9,32.03882289,-102.1582371
TX,San Antonio,4865000-48029192300,4865000,48029192300,24.4,29.56194405,-98.49614261
TX,Houston,4835000-48201340800,4835000,48201340800,23.2,29.58149304,-95.14381875
TX,San Antonio,4865000-48029152100,4865000,48029152100,37.8,29.2533478,-98.52755942
TX,San Antonio,4865000-48029182002,4865000,48029182002,24.9,29.59581847,-98.6643918
TX,Houston,4835000-48201422800,4835000,48201422800,29.8,29.69002866,-95.51778895
TX,Lubbock,4845000-48303001804,4845000,48303001804,26.9,33.52628244,-101.9144358
TX,Corpus Christi,4817000-48355003700,4817000,48355003700,34.1,27.86722378,-97.61685174
TX,Austin,4805000-48453001785,4805000,48453001785,19.8,30.44419142,-97.73495797
TX,Houston,4835000-48201421402,4835000,48201421402,45.6,29.7145907,-95.4868557
TX,Dallas,4819000-48113012302,4819000,48113012302,42,32.80830318,-96.67602233
TX,Plano,4858016-48085031664,4858016,48085031664,20.9,33.07507419,-96.78159699
TX,Fort Worth,4827000-48439102302,4827000,48439102302,36.5,32.70474124,-97.44630343
TX,Fort Worth,4827000-48439113918,4827000,48439113918,28.6,32.87051194,-97.28546596
TX,Allen,4801924-48085031408,4801924,48085031408,26.5,33.09288114,-96.62433981
TX,San Antonio,4865000-48029120502,4865000,48029120502,36.2,29.50455185,-98.4076087
TX,Mesquite,4847892-48113017604,4847892,48113017604,35.9,32.74185104,-96.61725785
TX,Corpus Christi,4817000-48355006200,4817000,48355006200,28.2,27.75787585,-97.24391652
TX,Killeen,4839148-48027022105,4839148,48027022105,32.6,31.12781398,-97.67394283
TX,Houston,4835000-48201510700,4835000,48201510700,21.4,29.76584421,-95.40391799
TX,Fort Worth,4827000-48439106400,4827000,48439106400,40.3,32.69524339,-97.23025502
